city,location,title,bhk,area_sqft,price_lakhs,price_per_sqft
Hyderabad,Riddhis Elite,"3 BHK Flat  for Sale in Agricultural Research Institute Quarters, Rajendra Nagar, Outer Ring Road, Hyderabad",3,2091,2.09,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Shamshabad Hyderabad,3,769,3.33,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Ameenpur, Hyderabad",3,1000,1.44,0.0
Hyderabad,Ramky One Astra,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,1400,1.98,0.0
Hyderabad,Canny Aravindam,"3 BHK Flat  for Sale in Bowrampet, Outer Ring Road, Hyderabad",3,1725,1.15,0.0
Hyderabad,RV Vibhuman,"2 BHK Flat  for Sale in Kondapur, Hyderabad",2,1080,1.19,0.0
Hyderabad,Rajapushpa Sierra,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1850,1.35,0.0
Hyderabad,Prestige Spring Heights,"3 BHK Flat  for Sale in Budwel, Hyderabad",3,2091,1.76,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Ameenpur Road, Hyderabad",3,1750,1.05,0.0
Hyderabad,Team4 Aria,"3 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",3,2465,1.6,0.0
Hyderabad,Nirmal Sapphire,"3 BHK Flat  for Sale in Yapral, Hyderabad",3,1450,72.5,0.05
Hyderabad,Anmol  Terrasa,"2 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",2,1305,1.26,0.0
Hyderabad,Aparna Zenon,"3 BHK Flat  for Sale in Puppalguda, Hyderabad",3,1712,2.15,0.0
Hyderabad,Lodha Meridian,"3 BHK Flat  for Sale in Kukatpally Housing Board Colony, NH 9, Hyderabad",3,2259,2.48,0.0
Hyderabad,Hyderabad,3 BHK  House for Sale in A S Rao Nagar Hyderabad,3,2700,3.6,0.0
Hyderabad,Rajapushpa Imperia,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1500,2.0,0.0
